10 3
0.45513895330387144 0.416819280413511 0.7022463400834489
0.941513379816198 0.09470276920640497 0.790451552443615
0.16931847493077778 0.9575220515389609 0.7716068867508094
0.6212532796438239 0.15889060101451147 0.865964381736968
0.8702582546007557 0.058432832296430925 0.3818054023660654
0.3047149966637166 0.1794183904759694 0.3590412446971387
0.10548883547714605 0.17323207657154316 0.6045636999031737
0.7146401231183918 0.6016099708922459 0.14956976513222486
0.4174133951018556 0.8266250831138451 0.32374353729076677
0.8397130730335528 0.9105707400106618 0.7466615814621732
